resume_text,category
"Professional with 8 years of experience in Web Development.
    Skilled in REST APIs, React, CSS, JavaScript.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 8 years of experience in Mobile Development.
    Skilled in iOS Development, Swift, Kotlin, React Native.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 2 years of experience in UI/UX Design.
    Skilled in Prototyping, Adobe XD, Wireframing, Figma.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 8 years of experience in Cloud Engineering.
    Skilled in Azure, Google Cloud, Kubernetes, AWS.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 3 years of experience in Mobile Development.
    Skilled in Swift, React Native, Flutter, Kotlin.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 5 years of experience in Cybersecurity.
    Skilled in Ethical Hacking, SIEM, Network Security, Penetration Testing.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 2 years of experience in Cybersecurity.
    Skilled in Cryptography, Network Security, Ethical Hacking, SIEM.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 8 years of experience in Cloud Engineering.
    Skilled in Cloud Architecture, Google Cloud, AWS, Serverless.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 2 years of experience in Data Science.
    Skilled in Pandas, TensorFlow, SQL, Statistics.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 1 years of experience in Data Science.
    Skilled in SQL, Statistics, Scikit-learn, Python.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 3 years of experience in Data Science.
    Skilled in Pandas, Python, Statistics, TensorFlow.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 6 years of experience in DevOps.
    Skilled in Docker, CI/CD, Terraform, Linux.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 4 years of experience in Web Development.
    Skilled in REST APIs, CSS, Node.js, HTML.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 4 years of experience in Mobile Development.
    Skilled in Kotlin, Swift, Android Studio, Flutter.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 3 years of experience in Web Development.
    Skilled in Django, CSS, JavaScript, React.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 6 years of experience in DevOps.
    Skilled in Linux, Git, Kubernetes, CI/CD.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 5 years of experience in Mobile Development.
    Skilled in React Native, Android Studio, Kotlin, Flutter.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 2 years of experience in Web Development.
    Skilled in REST APIs, Django, JavaScript, CSS.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 6 years of experience in Data Science.
    Skilled in Pandas, TensorFlow, SQL, Python.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 5 years of experience in Cloud Engineering.
    Skilled in Cloud Architecture, Kubernetes, Google Cloud, Azure.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 3 years of experience in Mobile Development.
    Skilled in React Native, Android Studio, Kotlin, iOS Development.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 5 years of experience in DevOps.
    Skilled in Git, CI/CD, AWS, Kubernetes.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 7 years of experience in Mobile Development.
    Skilled in React Native, Kotlin, Android Studio, Swift.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 6 years of experience in UI/UX Design.
    Skilled in Figma, Prototyping, Wireframing, Adobe XD.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 3 years of experience in DevOps.
    Skilled in CI/CD, Linux, Git, Terraform.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 4 years of experience in Mobile Development.
    Skilled in Swift, Android Studio, Kotlin, React Native.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 3 years of experience in UI/UX Design.
    Skilled in Prototyping, Wireframing, Adobe XD, User Research.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 7 years of experience in Cybersecurity.
    Skilled in Network Security, Cryptography, Penetration Testing, SIEM.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 3 years of experience in Web Development.
    Skilled in Node.js, HTML, REST APIs, React.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 2 years of experience in Cloud Engineering.
    Skilled in Azure, AWS, Serverless, Cloud Architecture.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 4 years of experience in Data Science.
    Skilled in Python, TensorFlow, SQL, Statistics.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 1 years of experience in Cybersecurity.
    Skilled in Network Security, Ethical Hacking, Penetration Testing, Cryptography.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 3 years of experience in Cloud Engineering.
    Skilled in AWS, Kubernetes, Serverless, Google Cloud.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 1 years of experience in Cybersecurity.
    Skilled in Network Security, Cryptography, Penetration Testing, SIEM.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 7 years of experience in Mobile Development.
    Skilled in React Native, Flutter, iOS Development, Kotlin.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 8 years of experience in Web Development.
    Skilled in React, Django, CSS, HTML.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 5 years of experience in Web Development.
    Skilled in REST APIs, HTML, JavaScript, Django.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 8 years of experience in Cloud Engineering.
    Skilled in Serverless, Kubernetes, AWS, Azure.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 7 years of experience in UI/UX Design.
    Skilled in Wireframing, User Research, Usability Testing, Adobe XD.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 4 years of experience in Cybersecurity.
    Skilled in SIEM, Network Security, Penetration Testing, Firewalls.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 3 years of experience in UI/UX Design.
    Skilled in Wireframing, Usability Testing, Figma, Adobe XD.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 3 years of experience in Cloud Engineering.
    Skilled in Google Cloud, Cloud Architecture, Serverless, Kubernetes.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 7 years of experience in UI/UX Design.
    Skilled in Figma, Adobe XD, Usability Testing, Wireframing.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 5 years of experience in Cloud Engineering.
    Skilled in Cloud Architecture, AWS, Google Cloud, Azure.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 7 years of experience in DevOps.
    Skilled in Kubernetes, CI/CD, Terraform, Linux.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 6 years of experience in UI/UX Design.
    Skilled in Wireframing, Usability Testing, Adobe XD, User Research.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 1 years of experience in Mobile Development.
    Skilled in iOS Development, Kotlin, Android Studio, React Native.
    Strong problem-solving skills and team collaboration experience.",Mobile Development
"Professional with 6 years of experience in DevOps.
    Skilled in CI/CD, Git, Linux, Docker.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 1 years of experience in Web Development.
    Skilled in React, REST APIs, JavaScript, Node.js.
    Strong problem-solving skills and team collaboration experience.",Web Development
"Professional with 2 years of experience in Data Science.
    Skilled in SQL, Machine Learning, TensorFlow, Statistics.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 8 years of experience in DevOps.
    Skilled in AWS, Docker, Kubernetes, Terraform.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 5 years of experience in Data Science.
    Skilled in Statistics, Scikit-learn, Pandas, Python.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 6 years of experience in UI/UX Design.
    Skilled in Prototyping, User Research, Usability Testing, Adobe XD.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 7 years of experience in UI/UX Design.
    Skilled in User Research, Prototyping, Usability Testing, Adobe XD.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 4 years of experience in Data Science.
    Skilled in SQL, Pandas, Python, Statistics.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 1 years of experience in UI/UX Design.
    Skilled in User Research, Figma, Wireframing, Usability Testing.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 6 years of experience in Data Science.
    Skilled in Python, Statistics, Pandas, SQL.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 3 years of experience in UI/UX Design.
    Skilled in Figma, Usability Testing, Adobe XD, User Research.
    Strong problem-solving skills and team collaboration experience.",UI/UX Design
"Professional with 8 years of experience in Cloud Engineering.
    Skilled in AWS, Serverless, Cloud Architecture, Kubernetes.
    Strong problem-solving skills and team collaboration experience.",Cloud Engineering
"Professional with 6 years of experience in DevOps.
    Skilled in CI/CD, Git, Kubernetes, Terraform.
    Strong problem-solving skills and team collaboration experience.",DevOps
"Professional with 1 years of experience in Data Science.
    Skilled in TensorFlow, Machine Learning, SQL, Statistics.
    Strong problem-solving skills and team collaboration experience.",Data Science
"Professional with 7 years of experience in Cybersecurity.
    Skilled in Ethical Hacking, Firewalls, Penetration Testing, Network Security.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 2 years of experience in Cybersecurity.
    Skilled in Network Security, Ethical Hacking, Cryptography, SIEM.
    Strong problem-solving skills and team collaboration experience.",Cybersecurity
"Professional with 3 years of experience in Web Development.
    Skilled in React, HTML, CSS, Django.
    Strong problem-solving skills and team collaboration experience.",Web Development
